tVal2,tVal3,tVal4,tVal5,tVal6,tVal7,ax,ay,az,gx,gy,gz
1,1,1,0,1,1,-1.10,-0.27,0.20,25.13,-11.89,249.28,4
1,1,1,0,1,1,-1.08,-0.36,-0.02,-513.10,608.72,-1231.87,4
1,1,1,0,1,1,-0.50,-0.21,-0.05,-329.33,644.61,-780.87,4
1,1,0,0,1,1,-0.55,-0.47,-0.26,-117.02,80.27,956.80,0
1,1,0,0,1,1,-1.05,-0.33,-0.15,-133.67,432.73,1242.35,4
1,1,1,0,1,1,-0.88,0.01,-0.49,-323.44,316.03,711.47,0
0,1,1,0,1,1,-0.81,0.18,-0.31,-122.32,-617.26,759.57,0
1,1,1,0,1,1,-1.18,0.41,-0.14,425.22,-1304.13,854.92,0
1,0,1,0,1,1,-0.95,0.35,-0.18,-95.07,-35.13,63.13,0
1,1,1,0,1,1,-0.98,0.33,-0.06,-351.54,810.27,-1516.17,0
1,1,1,0,1,1,-0.81,-0.03,-0.17,-37.51,694.66,-753.74,4
0,1,0,0,1,1,-0.93,-0.15,-0.29,-208.58,-330.68,126.86,4
0,1,0,0,1,1,-0.86,-0.17,-0.23,92.43,-1324.94,-940.16,4
1,1,0,0,1,1,-0.87,-0.34,0.28,295.55,-902.05,-388.73,4
1,1,1,0,1,0,-0.78,-0.24,0.49,353.81,-293.44,871.67,4
1,1,1,0,1,0,-0.79,0.01,0.58,319.01,6.76,1315.32,0
1,1,1,0,1,1,-0.93,0.33,0.07,-118.10,614.23,54.00,0
1,1,1,0,1,1,-0.72,0.20,0.29,64.16,148.37,-124.59,0
1,1,1,0,1,1,-0.78,0.28,0.33,261.17,-541.64,918.48,0
1,0,1,1,1,1,-0.64,0.44,0.34,371.06,-632.39,917.40,0
1,0,1,1,1,0,-0.57,0.55,0.39,-249.17,180.58,-367.71,0
1,0,1,1,1,1,-0.78,0.35,0.31,-557.42,616.12,-1252.68,0
1,1,1,0,1,1,-0.87,0.11,0.44,-402.78,345.60,-1386.99,0
1,1,1,0,1,1,-0.92,-0.25,0.30,-229.12,-19.40,-1133.71,4
1,1,1,0,1,1,-0.53,-0.33,0.13,-410.95,266.85,-82.81,4
1,1,1,0,1,1,-0.53,-0.23,0.04,-45.83,-203.61,1129.22,4
1,1,1,0,1,0,-0.88,-0.05,0.38,788.54,-362.90,1089.39,4
1,0,1,0,1,0,-1.19,0.03,0.42,100.43,482.62,-463.48,0
1,1,1,0,1,1,-0.83,0.01,0.22,-619.80,608.18,-1546.60,0
1,1,1,0,1,1,-0.62,-0.55,0.05,-325.06,-10.97,-809.84,0
1,1,0,0,1,1,-0.56,-0.39,0.06,-119.24,-25.73,534.13,4
1,1,0,0,1,1,-1.06,-0.44,0.12,100.75,237.71,309.49,4
1,1,0,0,1,1,-0.78,-0.34,0.10,-17.67,1467.96,26.48,4
0,1,0,0,1,1,-0.71,-0.29,-0.40,-71.29,-168.80,796.71,4
1,1,1,0,1,1,-1.03,0.15,-0.04,135.88,-979.40,1299.43,0
1,0,1,0,1,1,-1.17,0.20,0.01,213.50,-385.33,620.72,0
1,0,1,0,1,1,-0.86,0.25,0.01,-41.89,422.46,-534.18,0
1,1,1,0,1,1,-1.20,0.11,0.05,-173.18,868.21,-1410.99,0
1,1,0,0,1,1,-0.65,-0.16,-0.28,-220.31,331.01,-394.19,4
0,1,0,0,1,1,-0.77,-0.22,-0.36,-252.90,-77.08,581.31,4
1,1,1,0,1,1,-1.05,0.10,-0.37,-272.36,74.81,1561.36,0
1,0,1,0,1,1,-0.91,0.36,-0.44,-82.75,180.26,556.07,0
1,0,1,0,1,1,-0.80,0.43,-0.35,-64.81,60.00,-421.00,0
1,1,1,0,1,1,-0.94,0.37,-0.37,181.12,813.73,-1166.79,0
0,1,0,0,1,1,-0.56,-0.13,-0.62,-37.46,159.40,-343.55,0
0,1,0,0,1,1,-0.99,0.06,-0.65,-168.64,-256.79,-175.99,0
0,1,0,0,1,1,-0.69,-0.17,-0.53,602.66,-1103.60,-1168.03,4
1,1,0,0,1,1,-0.95,-0.51,-0.08,193.23,-690.33,-288.52,4
1,1,0,0,1,1,-0.94,-0.32,-0.00,-63.40,-82.81,1108.41,4
1,1,0,0,1,1,-1.03,-0.11,-0.22,-285.22,112.26,591.26,4
1,1,0,0,1,1,-0.98,-0.10,-0.24,-25.08,47.67,-157.77,4
1,1,0,0,1,1,-0.84,-0.07,-0.24,57.62,-221.12,843.95,4
1,1,1,0,1,1,-0.86,0.44,-0.07,187.88,-586.07,1464.28,0
